id,title,kind,owner_role,original_family,script_sections,dependencies,release_gates,ticket,status
CMP-02,Void method versus Sub procedure,still,code,T1-S04,7,OPS-01,R04a,tickets/CMP-02.md,planned
CMP-03,For loop and named Next,still,code,T1-S04,7,OPS-01,,tickets/CMP-03.md,planned
CMP-04,Counting backward: decrement versus Step -1,still,code,T1-S04,7,OPS-01,,tickets/CMP-04.md,planned
CMP-05,Returning a value,still,code,T1-S04,8,OPS-01,,tickets/CMP-05.md,planned
CMP-06,String concatenation,still,code,T1-S04,9,OPS-01,,tickets/CMP-06.md,planned
CMP-07,While loop spelling,still,code,T1-S04,9,OPS-01,R04a,tickets/CMP-07.md,planned
CMP-08,Line continuation,still,code,T1-S04,9,OPS-01,R03,tickets/CMP-08.md,planned
FACT-01,BASIC acronym,still,design,T1-S05,2,OPS-01,R15,tickets/FACT-01.md,planned
FACT-02,Dim: a word inherited from array dimensions,still,design,T1-S05,6,OPS-01,"R10,R15",tickets/FACT-02.md,planned
FACT-03,RAD: Rapid Application Development,still,design,T1-S05,3,OPS-01,,tickets/FACT-03.md,planned
FACT-04,VB3 and the Jet database engine,still,design,T1-S05,2,OPS-01,R15,tickets/FACT-04.md,planned
FACT-05,The function name can hold the return value,still,design,T1-S05,8,OPS-01,,tickets/FACT-05.md,planned
FACT-06,The runtime was part of the download story,still,design,T1-S05,12,OPS-01,R16,tickets/FACT-06.md,planned
MOCK-01,VB4-style War GUI on green felt,still,design,T1-M01,12,OPS-01,,tickets/MOCK-01.md,planned
MOCK-02,1996 download dialog: 9:42 remaining,motion,design,T1-M02,12,OPS-01,R16,tickets/MOCK-02.md,planned
REF-01,Representative MFC message-map snippet,code,code,T1-R01,13,OPS-01,R15,tickets/REF-01.md,planned
REF-02,Windows C Hello World: historical boilerplate comparison,motion,code,T1-R02,2,OPS-01,"R03,R15",tickets/REF-02.md,planned
REF-03,Classic VB MsgBox event handler,code,code,T1-R03,2,OPS-01,R03,tickets/REF-03.md,planned
REF-04,BASIC 10 PRINT / 20 GOTO,motion,code,T1-R04,2,OPS-01,,tickets/REF-04.md,planned
TERM-01,Project creation and actual SDK version,capture,capture,T2-T01,4,"OPS-01,OPS-02",R17,tickets/TERM-01.md,planned
TERM-02,Primary complete War simulation,capture,capture,T2-T02,"1,11,16","OPS-01,OPS-02","R06,R08",tickets/TERM-02.md,planned
TERM-03,Complete Program.vb readable scrollthrough stills,capture,capture,T2-T03,"6,7,8,9,10","OPS-01,OPS-02",R03,tickets/TERM-03.md,planned
TERM-04,War-heavy run with chained-war highlight,capture,capture,T2-T04,"1,11","OPS-01,OPS-02","R05,R08",tickets/TERM-04.md,planned
TERM-05,Alternate complete simulation: run B,capture,capture,T2-T02,11,"OPS-01,OPS-02,TERM-02","R06,R08",tickets/TERM-05.md,planned
TERM-06,Alternate complete simulation: run C,capture,capture,T2-T02,11,"OPS-01,OPS-02,TERM-02,TERM-05","R06,R08",tickets/TERM-06.md,planned
HIST-01,VB 1.0 IDE,archive,research,T2-H01,2,OPS-01,R14,tickets/HIST-01.md,planned
HIST-02,VB 4.0 IDE,archive,research,T2-H01,"1,3",OPS-01,R14,tickets/HIST-02.md,planned
HIST-03,VB 6.0 IDE,archive,research,T2-H01,15,OPS-01,R14,tickets/HIST-03.md,planned
HIST-04,Kemeny and Kurtz at Dartmouth,archive,research,T2-H02,2,OPS-01,R14,tickets/HIST-04.md,planned
HIST-05,Commodore 64 BASIC boot screen,archive,research,T2-H03,2,OPS-01,R14,tickets/HIST-05.md,planned
HIST-06,Apple II BASIC boot screen,archive,research,T2-H03,2,OPS-01,R14,tickets/HIST-06.md,planned
HIST-07,TRS-80 BASIC boot screen,archive,research,T2-H03,2,OPS-01,R14,tickets/HIST-07.md,planned
HIST-08,Windows 95 launch footage still,archive,research,T2-H04,2,OPS-01,R14,tickets/HIST-08.md,planned
HIST-09,CompUSA storefront,archive,research,T2-H05,3,OPS-01,R14,tickets/HIST-09.md,planned
HIST-10,Egghead Software storefront,archive,research,T2-H05,3,OPS-01,R14,tickets/HIST-10.md,planned
HIST-11,Visual Basic 4 retail box,archive,research,T2-H06,3,OPS-01,R14,tickets/HIST-11.md,planned
HIST-12,Borland Delphi 1.0 IDE,archive,research,T2-H07,13,OPS-01,R14,tickets/HIST-12.md,planned
HIST-13,Metrowerks CodeWarrior IDE,archive,research,T2-H08,14,OPS-01,R14,tickets/HIST-13.md,planned
HIST-14,NeXT Cube product photograph,archive,research,T2-H09,14,OPS-01,R14,tickets/HIST-14.md,planned
HIST-15,PowerBuilder DataWindow,archive,research,T2-H10,13,OPS-01,R14,tickets/HIST-15.md,planned
HIST-16,Java AWT application,archive,research,T2-H11,13,OPS-01,R14,tickets/HIST-16.md,planned
HIST-17,TUCOWS archived site circa 1996,archive,research,T2-H12,12,OPS-01,R14,tickets/HIST-17.md,planned
HIST-18,Download.com archived site circa 1996,archive,research,T2-H12,12,OPS-01,R14,tickets/HIST-18.md,planned
HIST-19,Windows 3.1 Solitaire,archive,research,T2-H13,12,OPS-01,R14,tickets/HIST-19.md,planned
HIST-20,Windows 95 Solitaire,archive,research,T2-H13,12,OPS-01,R14,tickets/HIST-20.md,planned
HIST-21,System 7 desktop,archive,research,T2-H14,14,OPS-01,R14,tickets/HIST-21.md,planned
BROLL-01,Hands shuffling physical cards,scout,research,T2-B01,5,,R14,tickets/BROLL-01.md,planned
BROLL-02,Two people playing War,scout,research,T2-B02,5,,R14,tickets/BROLL-02.md,planned
BROLL-03,1990s office with CRT monitors,scout,research,T2-B03,"3,12",,R14,tickets/BROLL-03.md,planned
BROLL-04,Browsing a 1990s software store,scout,research,T2-B04,"3,12",,R14,tickets/BROLL-04.md,planned
BROLL-05,Floppy disk insertion close-up,scout,research,T2-B05,"3,12",,R14,tickets/BROLL-05.md,planned
BROLL-06,Pentium-era PC booting,scout,research,T2-B06,"3,12",,R14,tickets/BROLL-06.md,planned
XTRA-01,Visual Basic Programmer's Journal cover,archive,research,SCRIPT-SUPPLEMENT,1,OPS-01,R14,tickets/XTRA-01.md,planned
XTRA-02,Period MSDN advertisement,archive,research,SCRIPT-SUPPLEMENT,1,OPS-01,R14,tickets/XTRA-02.md,planned
XTRA-03,Early BASIC-era terminal hardware,archive,research,SCRIPT-SUPPLEMENT,2,OPS-01,R14,tickets/XTRA-03.md,planned
XTRA-07,Visual Basic 4 installation media,archive,research,SCRIPT-SUPPLEMENT,3,OPS-01,R14,tickets/XTRA-07.md,planned
XTRA-09,Mid-1990s Macintosh hardware,archive,research,SCRIPT-SUPPLEMENT,14,OPS-01,R14,tickets/XTRA-09.md,planned
XTRA-11,Documented VB business application,archive,research,SCRIPT-SUPPLEMENT,15,OPS-01,"R14,R11",tickets/XTRA-11.md,planned
XTRA-12,Documented VB data-entry application,archive,research,SCRIPT-SUPPLEMENT,15,OPS-01,"R14,R11",tickets/XTRA-12.md,planned
XTRA-13,Documented VB utility application,archive,research,SCRIPT-SUPPLEMENT,15,OPS-01,"R14,R11",tickets/XTRA-13.md,planned
XTRA-16,VB6-to-.NET migration wizard,archive,research,SCRIPT-SUPPLEMENT,15,OPS-01,R14,tickets/XTRA-16.md,planned
XTRA-17,Save VB6 petition or advocacy page,archive,research,SCRIPT-SUPPLEMENT,15,OPS-01,R14,tickets/XTRA-17.md,planned
XTRA-18,Period Windows Hearts screenshot,archive,research,SCRIPT-SUPPLEMENT,12,OPS-01,R14,tickets/XTRA-18.md,planned
XTRA-19,Period Windows FreeCell screenshot,archive,research,SCRIPT-SUPPLEMENT,12,OPS-01,R14,tickets/XTRA-19.md,planned
XTRA-20,Period BBS file listing,archive,research,SCRIPT-SUPPLEMENT,12,OPS-01,R14,tickets/XTRA-20.md,planned
XTRA-04,FORTRAN versus BASIC introductory example,still,code,SCRIPT-SUPPLEMENT,2,OPS-01,R15,tickets/XTRA-04.md,planned
XTRA-05,VB4 IDE anatomy: five labeled panels,still,design,SCRIPT-SUPPLEMENT,3,"OPS-01,HIST-02","R03,R14",tickets/XTRA-05.md,planned
XTRA-06,Project settings: actual War.vbproj capture,capture,capture,SCRIPT-SUPPLEMENT,4,"OPS-01,OPS-02",R17,tickets/XTRA-06.md,planned
XTRA-08,1995 tools class-photo lineup,still,design,SCRIPT-SUPPLEMENT,13,OPS-01,R15,tickets/XTRA-08.md,planned
XTRA-10,VB-for-Mac claim visual: evidence-gated decision,still,research,SCRIPT-SUPPLEMENT,14,OPS-01,"R09,R14",tickets/XTRA-10.md,planned
XTRA-14,Real-world VB application collage,still,design,SCRIPT-SUPPLEMENT,15,"OPS-01,XTRA-11,XTRA-12,XTRA-13","R11,R14",tickets/XTRA-14.md,planned
XTRA-15,Windows XP office / legacy VB6 scene,still,research,SCRIPT-SUPPLEMENT,15,"OPS-01,XTRA-11","R01,R11,R14",tickets/XTRA-15.md,planned
OPS-01,"Shared visual system, reusable primitives, and deterministic export contract",support,orchestrator,COORDINATION,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,,tickets/OPS-01.md,planned
OPS-02,Isolated .NET harness and capture preflight,support,capture,COORDINATION,"4,11",,R17,tickets/OPS-02.md,planned
OPS-03,"Editorial, historical evidence, and rights clearance ledger",support,research,COORDINATION,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",,,tickets/OPS-03.md,planned
OPS-04,"Integration QA, coverage audit, and editor handoff",support,qa,COORDINATION,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","DIA-01,DIA-02,DIA-03,DIA-04,DIA-05,DIA-06,DIA-07,DIA-08,DIA-09,DIA-10,DIA-11,DIA-12,DIA-13,DIA-14,CARD-01,CH-01,CH-02,CH-03,CH-04,CH-05,CH-06,CH-07,CH-08,CH-09,CH-10,CH-11,CH-12,CH-13,CH-14,CH-15,CH-16,CARD-02,CODE-01,CODE-02,CODE-03,CODE-04,CODE-05,CODE-06,CODE-07,CODE-08,CODE-09,CODE-10,CODE-11,CODE-12,CODE-13,CODE-14,CODE-15,CODE-16,CODE-17,CODE-18,CODE-19,CODE-20,CODE-21,CODE-22,CODE-23,CODE-24,CODE-25,CMP-01,CMP-02,CMP-03,CMP-04,CMP-05,CMP-06,CMP-07,CMP-08,FACT-01,FACT-02,FACT-03,FACT-04,FACT-05,FACT-06,MOCK-01,MOCK-02,REF-01,REF-02,REF-03,REF-04,TERM-01,TERM-02,TERM-03,TERM-04,TERM-05,TERM-06,HIST-01,HIST-02,HIST-03,HIST-04,HIST-05,HIST-06,HIST-07,HIST-08,HIST-09,HIST-10,HIST-11,HIST-12,HIST-13,HIST-14,HIST-15,HIST-16,HIST-17,HIST-18,HIST-19,HIST-20,HIST-21,BROLL-01,BROLL-02,BROLL-03,BROLL-04,BROLL-05,BROLL-06,XTRA-01,XTRA-02,XTRA-03,XTRA-07,XTRA-09,XTRA-11,XTRA-12,XTRA-13,XTRA-16,XTRA-17,XTRA-18,XTRA-19,XTRA-20,XTRA-04,XTRA-05,XTRA-06,XTRA-08,XTRA-10,XTRA-14,XTRA-15,OPS-01,OPS-02,OPS-03",,tickets/OPS-04.md,planned
